Date,Manufacturer,Vehicle_Type,Registrations
2022-05-01,Piaggio,3W,15753
2022-05-01,Mahindra,3W,15031
2022-05-01,Maruti Suzuki,4W,102846
2022-05-01,Hyundai,4W,79271
2022-05-01,Tata Motors,4W,67174
2022-05-01,Mahindra,4W,113024
2022-06-01,Honda,2W,275006
2022-06-01,Hero MotoCorp,2W,156488
2022-06-01,TVS,2W,113150
2022-06-01,Bajaj,2W,121225
2022-06-01,Bajaj Auto,3W,9784
2022-06-01,Piaggio,3W,15782
2022-06-01,Mahindra,3W,10200
2022-06-01,Maruti Suzuki,4W,142065
2022-06-01,Hyundai,4W,69419
2022-06-01,Tata Motors,4W,82153
2022-06-01,Mahindra,4W,87615
2022-07-01,Honda,2W,221344
2022-07-01,Hero MotoCorp,2W,180416
2022-07-01,TVS,2W,153480
2022-07-01,Bajaj,2W,226892
2022-07-01,Bajaj Auto,3W,19681
2022-07-01,Piaggio,3W,18828
2022-07-01,Mahindra,3W,7422
2022-07-01,Maruti Suzuki,4W,134536
2022-07-01,Hyundai,4W,82685
2022-07-01,Tata Motors,4W,136866
2022-07-01,Mahindra,4W,71762
2022-08-01,Honda,2W,211726
2022-08-01,Hero MotoCorp,2W,127228
2022-08-01,TVS,2W,271655
2022-08-01,Bajaj,2W,202412
2022-08-01,Bajaj Auto,3W,11954
2022-08-01,Piaggio,3W,5311
2022-08-01,Mahindra,3W,11770
2022-08-01,Maruti Suzuki,4W,124185
2022-08-01,Hyundai,4W,117428
2022-08-01,Tata Motors,4W,116190
2022-08-01,Mahindra,4W,127377
2022-09-01,Honda,2W,263576
2022-09-01,Hero MotoCorp,2W,171874
2022-09-01,TVS,2W,260517
2022-09-01,Bajaj,2W,207060
2022-09-01,Bajaj Auto,3W,5083
2022-09-01,Piaggio,3W,17144
2022-09-01,Mahindra,3W,15157
2022-09-01,Maruti Suzuki,4W,122941
2022-09-01,Hyundai,4W,135359
2022-09-01,Tata Motors,4W,127323
2022-09-01,Mahindra,4W,67996
2022-10-01,Honda,2W,185198
2022-10-01,Hero MotoCorp,2W,244677
2022-10-01,TVS,2W,194953
2022-10-01,Bajaj,2W,190024
2022-10-01,Bajaj Auto,3W,17574
2022-10-01,Piaggio,3W,17222
2022-10-01,Mahindra,3W,19584
2022-10-01,Maruti Suzuki,4W,134871
2022-10-01,Hyundai,4W,111219
2022-10-01,Tata Motors,4W,143877
2022-10-01,Mahindra,4W,128610
2022-11-01,Honda,2W,215734
2022-11-01,Hero MotoCorp,2W,131301
2022-11-01,TVS,2W,182453
2022-11-01,Bajaj,2W,208623
2022-11-01,Bajaj Auto,3W,17930
2022-11-01,Piaggio,3W,17103
2022-11-01,Mahindra,3W,13443
2022-11-01,Maruti Suzuki,4W,111255
2022-11-01,Hyundai,4W,91883
2022-11-01,Tata Motors,4W,110366
2022-11-01,Mahindra,4W,81104
2022-12-01,Honda,2W,152098
2022-12-01,Hero MotoCorp,2W,134308
2022-12-01,TVS,2W,103873
2022-12-01,Bajaj,2W,276112
2022-12-01,Bajaj Auto,3W,15931
2022-12-01,Piaggio,3W,7375
2022-12-01,Mahindra,3W,13121
2022-12-01,Maruti Suzuki,4W,138879
2022-12-01,Hyundai,4W,82558
2022-12-01,Tata Motors,4W,98202
2022-12-01,Mahindra,4W,61537
2023-01-01,Honda,2W,204433
2023-01-01,Hero MotoCorp,2W,182630
2023-01-01,TVS,2W,164662
2023-01-01,Bajaj,2W,292460
2023-01-01,Bajaj Auto,3W,10004
2023-01-01,Piaggio,3W,13761
2023-01-01,Mahindra,3W,14179
2023-01-01,Maruti Suzuki,4W,93202
2023-01-01,Hyundai,4W,132975
2023-01-01,Tata Motors,4W,88504
2023-01-01,Mahindra,4W,66019
2023-02-01,Honda,2W,145106
2023-02-01,Hero MotoCorp,2W,125210
2023-02-01,TVS,2W,283677
2023-02-01,Bajaj,2W,189580
2023-02-01,Bajaj Auto,3W,7773
2023-02-01,Piaggio,3W,16897
2023-02-01,Mahindra,3W,9929
2023-02-01,Maruti Suzuki,4W,52961
2023-02-01,Hyundai,4W,98810
2023-02-01,Tata Motors,4W,61939
2023-02-01,Mahindra,4W,97488
2023-03-01,Honda,2W,149100
2023-03-01,Hero MotoCorp,2W,115903
2023-03-01,TVS,2W,277123
2023-03-01,Bajaj,2W,213796
2023-03-01,Bajaj Auto,3W,7447
2023-03-01,Piaggio,3W,16849
2023-03-01,Mahindra,3W,13839
2023-03-01,Maruti Suzuki,4W,76283
2023-03-01,Hyundai,4W,83056
2023-03-01,Tata Motors,4W,139147
2023-03-01,Mahindra,4W,89740
2023-04-01,Honda,2W,161786
2023-04-01,Hero MotoCorp,2W,102268
2023-04-01,TVS,2W,138701
2023-04-01,Bajaj,2W,139188
2023-04-01,Bajaj Auto,3W,16754
2023-04-01,Piaggio,3W,18214
2023-04-01,Mahindra,3W,18277
2023-04-01,Maruti Suzuki,4W,80063
2023-04-01,Hyundai,4W,128277
2023-04-01,Tata Motors,4W,142718
2023-04-01,Mahindra,4W,137744
2023-05-01,Honda,2W,229058
2023-05-01,Hero MotoCorp,2W,273984
2023-05-01,TVS,2W,175706
2023-05-01,Bajaj,2W,130276
2023-05-01,Bajaj Auto,3W,14072
2023-05-01,Piaggio,3W,10843
2023-05-01,Mahindra,3W,18746
2023-05-01,Maruti Suzuki,4W,143269
2023-05-01,Hyundai,4W,107274
2023-05-01,Tata Motors,4W,124288
2023-05-01,Mahindra,4W,78107
2023-06-01,Honda,2W,247663
2023-06-01,Hero MotoCorp,2W,212810
2023-06-01,TVS,2W,184817
2023-06-01,Bajaj,2W,100182
2023-06-01,Bajaj Auto,3W,15321
2023-06-01,Piaggio,3W,12162
2023-06-01,Mahindra,3W,16832
2023-06-01,Maruti Suzuki,4W,95972
2023-06-01,Hyundai,4W,112705
2023-06-01,Tata Motors,4W,94624
2023-06-01,Mahindra,4W,81760
2023-07-01,Honda,2W,164966
2023-07-01,Hero MotoCorp,2W,216163
2023-07-01,TVS,2W,285157
2023-07-01,Bajaj,2W,184419
2023-07-01,Bajaj Auto,3W,6293
2023-07-01,Piaggio,3W,16629
2023-07-01,Mahindra,3W,8718
2023-07-01,Maruti Suzuki,4W,132883
2023-07-01,Hyundai,4W,89067
2023-07-01,Tata Motors,4W,98935
2023-07-01,Mahindra,4W,140570
2023-08-01,Honda,2W,192847
2023-08-01,Hero MotoCorp,2W,145330
2023-08-01,TVS,2W,221437
2023-08-01,Bajaj,2W,144662
2023-08-01,Bajaj Auto,3W,8473
2023-08-01,Piaggio,3W,8599
2023-08-01,Mahindra,3W,14305
2023-08-01,Maruti Suzuki,4W,119176
2023-08-01,Hyundai,4W,50918
2023-08-01,Tata Motors,4W,130177
2023-08-01,Mahindra,4W,66319
2023-09-01,Honda,2W,140714
2023-09-01,Hero MotoCorp,2W,105575
2023-09-01,TVS,2W,188672
2023-09-01,Bajaj,2W,254681
2023-09-01,Bajaj Auto,3W,8085
2023-09-01,Piaggio,3W,10638
2023-09-01,Mahindra,3W,16406
2023-09-01,Maruti Suzuki,4W,118613
2023-09-01,Hyundai,4W,119691
2023-09-01,Tata Motors,4W,95301
2023-09-01,Mahindra,4W,101550
2023-10-01,Honda,2W,265864
2023-10-01,Hero MotoCorp,2W,259306
2023-10-01,TVS,2W,100732
2023-10-01,Bajaj,2W,269913
2023-10-01,Bajaj Auto,3W,17930
2023-10-01,Piaggio,3W,14622
2023-10-01,Mahindra,3W,9727
2023-10-01,Maruti Suzuki,4W,112091
2023-10-01,Hyundai,4W,91459
2023-10-01,Tata Motors,4W,133592
2023-10-01,Mahindra,4W,61788
2023-11-01,Honda,2W,229397
2023-11-01,Hero MotoCorp,2W,100271
2023-11-01,TVS,2W,226053
2023-11-01,Bajaj,2W,268422
2023-11-01,Bajaj Auto,3W,16508
2023-11-01,Piaggio,3W,10822
2023-11-01,Mahindra,3W,16342
2023-11-01,Maruti Suzuki,4W,138311
2023-11-01,Hyundai,4W,114346
2023-11-01,Tata Motors,4W,102313
2023-11-01,Mahindra,4W,88579
2023-12-01,Honda,2W,106530
2023-12-01,Hero MotoCorp,2W,295077
2023-12-01,TVS,2W,264243
2023-12-01,Bajaj,2W,228038
2023-12-01,Bajaj Auto,3W,8161
2023-12-01,Piaggio,3W,15317
2023-12-01,Mahindra,3W,15902
2023-12-01,Maruti Suzuki,4W,139744
2023-12-01,Hyundai,4W,64066
2023-12-01,Tata Motors,4W,135005
2023-12-01,Mahindra,4W,66599
2024-01-01,Honda,2W,163920
2024-01-01,Hero MotoCorp,2W,149207
2024-01-01,TVS,2W,152121
2024-01-01,Bajaj,2W,273076
2024-01-01,Bajaj Auto,3W,18493
2024-01-01,Piaggio,3W,17187
2024-01-01,Mahindra,3W,8086
2024-01-01,Maruti Suzuki,4W,95302
2024-01-01,Hyundai,4W,90863
2024-01-01,Tata Motors,4W,139228
2024-01-01,Mahindra,4W,133498
2024-02-01,Honda,2W,158875
2024-02-01,Hero MotoCorp,2W,150622
2024-02-01,TVS,2W,296972
2024-02-01,Bajaj,2W,133386
2024-02-01,Bajaj Auto,3W,8428
2024-02-01,Piaggio,3W,5257
2024-02-01,Mahindra,3W,6726
2024-02-01,Maruti Suzuki,4W,56470
2024-02-01,Hyundai,4W,121564
2024-02-01,Tata Motors,4W,123441
2024-02-01,Mahindra,4W,139459
2024-03-01,Honda,2W,244524
2024-03-01,Hero MotoCorp,2W,122929
2024-03-01,TVS,2W,212436
2024-03-01,Bajaj,2W,147120
2024-03-01,Bajaj Auto,3W,5234
2024-03-01,Piaggio,3W,19785
2024-03-01,Mahindra,3W,16808
2024-03-01,Maruti Suzuki,4W,135411
2024-03-01,Hyundai,4W,53097
2024-03-01,Tata Motors,4W,81414
2024-03-01,Mahindra,4W,71937
2024-04-01,Honda,2W,116255
2024-04-01,Hero MotoCorp,2W,103685
2024-04-01,TVS,2W,266006
2024-04-01,Bajaj,2W,292038
2024-04-01,Bajaj Auto,3W,19521
2024-04-01,Piaggio,3W,5642
2024-04-01,Mahindra,3W,17470
2024-04-01,Maruti Suzuki,4W,51574
2024-04-01,Hyundai,4W,89001
2024-04-01,Tata Motors,4W,117993
2024-04-01,Mahindra,4W,97247
2024-05-01,Honda,2W,255053
2024-05-01,Hero MotoCorp,2W,142265
2024-05-01,TVS,2W,265966
2024-05-01,Bajaj,2W,192863
2024-05-01,Bajaj Auto,3W,14152
2024-05-01,Piaggio,3W,8228
2024-05-01,Mahindra,3W,11485
2024-05-01,Maruti Suzuki,4W,69260
2024-05-01,Hyundai,4W,97776
2024-05-01,Tata Motors,4W,110507
2024-05-01,Mahindra,4W,102036
2024-06-01,Honda,2W,124875
2024-06-01,Hero MotoCorp,2W,219161
2024-06-01,TVS,2W,203347
2024-06-01,Bajaj,2W,143065
2024-06-01,Bajaj Auto,3W,12124
2024-06-01,Piaggio,3W,9905
2024-06-01,Mahindra,3W,12563
2024-06-01,Maruti Suzuki,4W,75589
2024-06-01,Hyundai,4W,50303
2024-06-01,Tata Motors,4W,103496
2024-06-01,Mahindra,4W,77659
2024-07-01,Honda,2W,232404
2024-07-01,Hero MotoCorp,2W,231341
2024-07-01,TVS,2W,157447
2024-07-01,Bajaj,2W,144047
2024-07-01,Bajaj Auto,3W,7039
2024-07-01,Piaggio,3W,18593
2024-07-01,Mahindra,3W,5702
2024-07-01,Maruti Suzuki,4W,96725
2024-07-01,Hyundai,4W,55000
2024-07-01,Tata Motors,4W,116177
2024-07-01,Mahindra,4W,98338
2024-08-01,Honda,2W,282434
2024-08-01,Hero MotoCorp,2W,143106
2024-08-01,TVS,2W,207652
2024-08-01,Bajaj,2W,228870
2024-08-01,Bajaj Auto,3W,16809
2024-08-01,Piaggio,3W,7691
2024-08-01,Mahindra,3W,15928
2024-08-01,Maruti Suzuki,4W,59731
2024-08-01,Hyundai,4W,63252
2024-08-01,Tata Motors,4W,64012
2024-08-01,Mahindra,4W,100374
2024-09-01,Honda,2W,216214
2024-09-01,Hero MotoCorp,2W,239199
2024-09-01,TVS,2W,277186
2024-09-01,Bajaj,2W,195027
2024-09-01,Bajaj Auto,3W,9261
2024-09-01,Piaggio,3W,15685
2024-09-01,Mahindra,3W,8403
2024-09-01,Maruti Suzuki,4W,134410
2024-09-01,Hyundai,4W,59823
2024-09-01,Tata Motors,4W,114627
2024-09-01,Mahindra,4W,113945
2024-10-01,Honda,2W,137200
2024-10-01,Hero MotoCorp,2W,253004
2024-10-01,TVS,2W,256557
2024-10-01,Bajaj,2W,126255
2024-10-01,Bajaj Auto,3W,17596
2024-10-01,Piaggio,3W,14887
2024-10-01,Mahindra,3W,7258
2024-10-01,Maruti Suzuki,4W,90569
2024-10-01,Hyundai,4W,119402
2024-10-01,Tata Motors,4W,54417
2024-10-01,Mahindra,4W,130076
2024-11-01,Honda,2W,201059
2024-11-01,Hero MotoCorp,2W,116050
2024-11-01,TVS,2W,106505
2024-11-01,Bajaj,2W,281451
2024-11-01,Bajaj Auto,3W,10382
2024-11-01,Piaggio,3W,5802
2024-11-01,Mahindra,3W,13717
2024-11-01,Maruti Suzuki,4W,110775
2024-11-01,Hyundai,4W,57750
2024-11-01,Tata Motors,4W,148038
2024-11-01,Mahindra,4W,114311
2024-12-01,Honda,2W,196632
2024-12-01,Hero MotoCorp,2W,216183
2024-12-01,TVS,2W,255735
2024-12-01,Bajaj,2W,299367
2024-12-01,Bajaj Auto,3W,16602
2024-12-01,Piaggio,3W,19350
2024-12-01,Mahindra,3W,9375
2024-12-01,Maruti Suzuki,4W,138401
2024-12-01,Hyundai,4W,128489
2024-12-01,Tata Motors,4W,144301
2024-12-01,Mahindra,4W,102696
2025-01-01,Honda,2W,169679
2025-01-01,Hero MotoCorp,2W,223083
2025-01-01,TVS,2W,152983
2025-01-01,Bajaj,2W,141514
2025-01-01,Bajaj Auto,3W,5874
2025-01-01,Piaggio,3W,6969
2025-01-01,Mahindra,3W,18496
2025-01-01,Maruti Suzuki,4W,149362
2025-01-01,Hyundai,4W,110422
2025-01-01,Tata Motors,4W,55515
2025-01-01,Mahindra,4W,70937
2025-02-01,Honda,2W,236163
2025-02-01,Hero MotoCorp,2W,120914
2025-02-01,TVS,2W,108002
2025-02-01,Bajaj,2W,185197
2025-02-01,Bajaj Auto,3W,5165
2025-02-01,Piaggio,3W,12744
2025-02-01,Mahindra,3W,11197
2025-02-01,Maruti Suzuki,4W,62904
2025-02-01,Hyundai,4W,120750
2025-02-01,Tata Motors,4W,52643
2025-02-01,Mahindra,4W,125317
2025-03-01,Honda,2W,269302
2025-03-01,Hero MotoCorp,2W,224250
2025-03-01,TVS,2W,122520
2025-03-01,Bajaj,2W,237144
2025-03-01,Bajaj Auto,3W,13643
2025-03-01,Piaggio,3W,5864
2025-03-01,Mahindra,3W,14794
2025-03-01,Maruti Suzuki,4W,103065
2025-03-01,Hyundai,4W,119691
2025-03-01,Tata Motors,4W,144451
2025-03-01,Mahindra,4W,114195
2025-04-01,Honda,2W,281409
2025-04-01,Hero MotoCorp,2W,235733
2025-04-01,TVS,2W,217283
2025-04-01,Bajaj,2W,142158
2025-04-01,Bajaj Auto,3W,6276
2025-04-01,Piaggio,3W,8397
2025-04-01,Mahindra,3W,14878
2025-04-01,Maruti Suzuki,4W,77845
2025-04-01,Hyundai,4W,108512
2025-04-01,Tata Motors,4W,86153
2025-04-01,Mahindra,4W,139022
2025-05-01,Honda,2W,176597
2025-05-01,Hero MotoCorp,2W,217481
2025-05-01,TVS,2W,141197
2025-05-01,Bajaj,2W,192598
2025-05-01,Bajaj Auto,3W,12283
2025-05-01,Piaggio,3W,9023
2025-05-01,Mahindra,3W,18364
2025-05-01,Maruti Suzuki,4W,96177
2025-05-01,Hyundai,4W,133026
2025-05-01,Tata Motors,4W,143869
2025-05-01,Mahindra,4W,139469
2025-06-01,Honda,2W,105041
2025-06-01,Hero MotoCorp,2W,181160
2025-06-01,TVS,2W,232247
2025-06-01,Bajaj,2W,155871
2025-06-01,Bajaj Auto,3W,15066
2025-06-01,Piaggio,3W,19187
2025-06-01,Mahindra,3W,8188
2025-06-01,Maruti Suzuki,4W,123866
2025-06-01,Hyundai,4W,94558
2025-06-01,Tata Motors,4W,79387
2025-06-01,Mahindra,4W,98046
2025-07-01,Honda,2W,156632
2025-07-01,Hero MotoCorp,2W,190165
2025-07-01,TVS,2W,233391
2025-07-01,Bajaj,2W,267895
2025-07-01,Bajaj Auto,3W,11289
2025-07-01,Piaggio,3W,10100
2025-07-01,Mahindra,3W,12123
2025-07-01,Maruti Suzuki,4W,88149
2025-07-01,Hyundai,4W,120896
2025-07-01,Tata Motors,4W,122705
2025-07-01,Mahindra,4W,122971
2025-08-01,Honda,2W,267182
2025-08-01,Hero MotoCorp,2W,222934
2025-08-01,TVS,2W,249683
2025-08-01,Bajaj,2W,279601
2025-08-01,Bajaj Auto,3W,5271
2025-08-01,Piaggio,3W,11924
2025-08-01,Mahindra,3W,6011
2025-08-01,Maruti Suzuki,4W,95856
2025-08-01,Hyundai,4W,83167
2025-08-01,Tata Motors,4W,64777
2025-08-01,Mahindra,4W,135093
